Digit  School  Karat
100		8		66
300		15		166
500		38		93
700		74		229
900		110		197
1100	160		555
1300	226		565
1500	298		552
1700	387		241
1900	112		235
2100	136		668
2300	162		672
2500	192		692
2700	223		689
2900	256		688
3100	291		681
3300	339		691
3500	378		683
3700	423		691
3900	476		690
4100	518		2009
4300	591		2073
4500	612		2017
4700	669		2019
4900	734		2059
5100	797		2004
5300	851		2013
5500	915		2023
5700	993		2031
5900	1097	2015
6100	1129	2036
6300	1228	2150
6500	1409	2426
6700	1813	2435
6900	1570	2339
7100	1578	2137
7300	1960	2194
7500	1741	2043
7700	1871	2102
7900	1924	2066
8100	2018	2098
8300	2114	5942
8500	2257	6367
8700	2653	6787
8900	3230	6049
9100	2588	6501
9300	2625	5989
9500	2730	5971
9700	2862	5947
9900	3016	6105
10100	3155	6087
10300	3280	6189
10500	3402	6047
10700	3560	6079
10900	3662	6099
11100	3791	6046
11300	3938	6100
11500	4043	6184
11700	4258	6101
11900	4357	6093
12100	4624	6155
12300	4620	6071
12500	4815	6197
12700	4885	6094
12900	5002	6114
13100	5207	6104
13300	5420	6090
13500	5568	6225
13700	5766	6182
13900	6492	6184
14100	6048	6223
14300	6284	6213
14500	6664	6213
14700	6580	6091
14900	6824	6113
15100	7082	6138
15300	7171	6258
15500	7400	6193
15700	7481	6236
15900	7762	6203
16100	8039	6181
16300	8336	6094
16500	8281	19918
16700	10449	18467
16900	8547	18009
17100	9007	17988
17300	9279	18398
17500	10376	21833
17700	11707	18348
17900	9760	18115
18100	10051	18335
18300	11286	17975
18500	11535	22077
18700	12598	18181
18900	11152	18216
19100	11182	18192
19300	11634	19324
19500	14529	22072
19700	11958	18124
19900	12063	18341
20100	13736	22081
20300	15434	18290
20500	12662	18140
20700	12937	18161
20900	13558	22189
21100	16303	18933
21300	13714	18180
21500	14118	20612
21700	18085	18522
21900	14783	18248
22100	15053	19513
22300	18387	22079
22500	17573	18219
22700	15915	18367
22900	17102	22030
23100	19725	18523
23300	17534	21412
23500	16739	18209
23700	17811	22173
23900	21163	18585
24100	17672	18229
24300	18776	22207
24500	22504	19126
24700	18760	18498
24900	22788	21468
25100	19433	18370
25300	23627	20935
25500	19590	18263
25700	21845	22191
25900	24770	18742
26100	21160	22417
26300	25580	18304
26500	23310	20437
26700	21811	18376
26900	25706	22391
27100	27287	18594
27300	22471	18629
27500	24969	22216
27700	27430	18168
27900	23808	19848
28100	29099	18584
28300	24672	18499
28500	26596	22638
28700	31280	22851
28900	25956	18538
29100	28087	21901
29300	26195	18553
29500	31064	21258
29700	27135	18565
29900	29327	22323
